"Designator","MPN","Quantity","Description"
"D1, ","BAT60AE6327","1","BAT60A"
"H1, ","","1","MountingHole"
"J1, ","B2B-PH-SM4-TB(lf)(sn)","1","JST-PH2"
"J2, J5, ","JST-SH-BM04B-SRSS-TB","2","JST-SH"
"J3, ","191-009-113L551","1","191-009-113L551"
"J4, ","B4B-PH-SM4-TB(lf)(sn)","1","STEMMA JST-PH connector"
"R1, R2, ","0603WAF1002T5E","2","10K"
"R3, R5, ","0603WAF2001T5E","2","2K"
"R4, ","0603WAF3301T5E","1","3.3K"
"U1, ","-","1","QT_PY"
"U2, ","AQY212GSZ","1","AQY212"
